compound.name,id.zhulab,id.pubchem,ref.mz,rt,polarity
4-Pyridoxic acid,L0127,6723,184.0605,0.66,positive
3'-O-methyladenosine,L0251,82530,282.1197,1.77,positive
Creatinine,S0042,588,114.0662,2.73,positive
Nicotinate,S0008,938,124.0393,3.61,positive
Guanosine,S0071,135398635,284.099,4.27,positive
N-Acetylcadaverine,S0249,189087,145.1336,4.88,positive
Beta-Alanine,L0320,239,90.055,5.93,positive
dAMP,L0140,12599,332.0755,6.94,positive
gamma-L-Glutamyl-L-glutamic acid,L0352,92865,277.1031,7.53,positive
"N6,N6,N6-Trimethyl-L-lysine",L0190,440120,189.1598,8.44,positive
